sni_id,year,ant_for_noll
elapparatur,2013,355
elapparatur,2014,359
elapparatur,2015,374
elapparatur,2016,365
elapparatur,2017,384
elapparatur,2018,432
elapparatur,2019,428
elapparatur,2020,433
elapparatur,2021,438
elapparatur,2022,
elapparatur,2023,
farmaceutiska_basp,2000,
farmaceutiska_basp,2001,
farmaceutiska_basp,2002,
farmaceutiska_basp,2003,
farmaceutiska_basp,2004,
farmaceutiska_basp,2005,
farmaceutiska_basp,2006,61
farmaceutiska_basp,2007,62
farmaceutiska_basp,2008,50
farmaceutiska_basp,2009,63
farmaceutiska_basp,2010,66
farmaceutiska_basp,2011,68
farmaceutiska_basp,2012,69
farmaceutiska_basp,2013,71
farmaceutiska_basp,2014,73
farmaceutiska_basp,2015,77
farmaceutiska_basp,2016,72
farmaceutiska_basp,2017,74
farmaceutiska_basp,2018,76
farmaceutiska_basp,2019,72
farmaceutiska_basp,2020,82
farmaceutiska_basp,2021,84
farmaceutiska_basp,2022,
farmaceutiska_basp,2023,
industri_for_lad,2000,
industri_for_lad,2001,
industri_for_lad,2002,
industri_for_lad,2003,
industri_for_lad,2004,
industri_for_lad,2005,
industri_for_lad,2006,316
industri_for_lad,2007,321
industri_for_lad,2008,297
industri_for_lad,2009,354
industri_for_lad,2010,375
industri_for_lad,2011,375
industri_for_lad,2012,395
industri_for_lad,2013,405
industri_for_lad,2014,412
industri_for_lad,2015,434
industri_for_lad,2016,423
industri_for_lad,2017,438
industri_for_lad,2018,473
industri_for_lad,2019,463
industri_for_lad,2020,451
industri_for_lad,2021,459
industri_for_lad,2022,
industri_for_lad,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,
industri_for_met,2004,
industri_for_met,2005,
industri_for_met,2006,5349
industri_for_met,2007,5323
industri_for_met,2008,4973
industri_for_met,2009,5389
industri_for_met,2010,5325
industri_for_met,2011,5010
industri_for_met,2012,4977
industri_for_met,2013,4942
industri_for_met,2014,5010
industri_for_met,2015,4984
industri_for_met,2016,4966
industri_for_met,2017,4978
industri_for_met,2018,5307
industri_for_met,2019,5555
industri_for_met,2020,5737
industri_for_met,2021,5802
industri_for_met,2022,
industri_for_met,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,
industri_for_mot,2004,
industri_for_mot,2005,
industri_for_mot,2006,439
industri_for_mot,2007,437
industri_for_mot,2008,418
industri_for_mot,2009,475
industri_for_mot,2010,477
industri_for_mot,2011,462
industri_for_mot,2012,470
industri_for_mot,2013,456
industri_for_mot,2014,477
industri_for_mot,2015,484
industri_for_mot,2016,489
industri_for_mot,2017,505
industri_for_mot,2018,554
industri_for_mot,2019,575
industri_for_mot,2020,583
industri_for_mot,2021,587
industri_for_mot,2022,
industri_for_mot,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,
industri_for_tra,2004,
industri_for_tra,2005,
industri_for_tra,2006,3891
industri_for_tra,2007,3761
industri_for_tra,2008,3439
industri_for_tra,2009,3702
industri_for_tra,2010,3542
industri_for_tra,2011,3382
industri_for_tra,2012,3388
industri_for_tra,2013,3338
industri_for_tra,2014,3257
industri_for_tra,2015,3185
industri_for_tra,2016,3150
industri_for_tra,2017,3114
industri_for_tra,2018,3231
industri_for_tra,2019,3234
industri_for_tra,2020,3249
industri_for_tra,2021,3214
industri_for_tra,2022,
industri_for_tra,2023,
rapetroleum,2000,
rapetroleum,2001,
rapetroleum,2002,
rapetroleum,2003,
rapetroleum,2004,
rapetroleum,2005,
rapetroleum,2006,0
rapetroleum,2007,0
rapetroleum,2008,0
rapetroleum,2009,0
rapetroleum,2010,0
rapetroleum,2011,0
rapetroleum,2012,1
rapetroleum,2013,0
rapetroleum,2014,0
rapetroleum,2015,2
rapetroleum,2016,0
rapetroleum,2017,0
rapetroleum,2018,1
rapetroleum,2019,2
rapetroleum,2020,3
rapetroleum,2021,3
rapetroleum,2022,
rapetroleum,2023,
informationstjanstforetag,2000,
informationstjanstforetag,2001,
informationstjanstforetag,2002,
informationstjanstforetag,2003,
informationstjanstforetag,2004,
informationstjanstforetag,2005,
informationstjanstforetag,2006,1311
informationstjanstforetag,2007,1442
informationstjanstforetag,2008,1436
informationstjanstforetag,2009,1843
informationstjanstforetag,2010,1971
informationstjanstforetag,2011,2062
informationstjanstforetag,2012,2106
informationstjanstforetag,2013,2186
informationstjanstforetag,2014,2286
informationstjanstforetag,2015,2334
informationstjanstforetag,2016,2386
informationstjanstforetag,2017,2429
informationstjanstforetag,2018,2646
informationstjanstforetag,2019,2691
informationstjanstforetag,2020,2748
informationstjanstforetag,2021,2771
informationstjanstforetag,2022,
